text,label,language_category
"Господи, как же хочется украиночку... 
 
Наивную, немного глупенькую, с акцентом миленькой деревенской клуши. Чтобы не выговаривала, или забывала некоторые слова и спрашивала у меня, и разговаривала еще так, будто ее немного заносит и она сама не понимает о чем речь. Хочу уткнуться в ее пышные груди, и тихо прошептать...: 
- Я Русский Оккупант... Я пришел оккупировать твою деревеньку... И твое сердечко... 
И чтобы она отталкивала меня, строила из себя недоступную дiвчину, чтобы тихоньким голосочком кричала : 
'Ні не чіпай мене російський окупант, що ти робиш, ні, не чіпай мене там, не притискайся до моїх грудей ! Я українка, горда Українка ! Не вожуся з москаликами ! Нееет... Не чіпай... Не треба... Не там...'.",HATE_SPEECH,MIXED_OTHER
Love you Alish :* Но я ненавижу н е г >:В,OFFENSIVE,MIXED_KAZ_RUS
https://t.me/nutumba/15949 ответ на это сообщение: АЙТУшник хуже животного,OFFENSIVE,MIXED_KAZ_RUS
"Altynay, ты больше ненавидишь евреев или айтушников?",HATE_SPEECH,MIXED_KAZ_RUS
"Админы, кикните G и pip van winkle. Несут какую-то дичь, да еще и оскорбительную. Честное слово, админы, вы как слепые. Кишкене, понаблюдайте что они пишут. Так обидно за это сообщество. Ладно Briany Babyboy, он никому зла не желает и не держит. He is just horny. Но те двое, я считаю они опасны вообще для коммуникации",OFFENSIVE,MIXED_KAZ_RUS
"ЕРБОЛАТ фаундер, который бородач, ты ебаный ЧЕРТ!!!! Мәңгүрт, женослужитель. Забирай свои монатки и не писай в мой горшок!",OFFENSIVE,MIXED_KAZ_RUS
Пиздец хадишамед буллила Ақмарал думаю что она это Бэйбибой,OFFENSIVE,MIXED_KAZ_RUS
"Меня одной бесит Camila? Почему ты КАЖДЫЙ ДЕНЬ жалуешься на свое здоровье. Блять если тебе плохо врачка баршиш, чаттагы кыздар сенин « сильно болит живот, умираю, меня тошнит, голова кружится» дегенинди окып диагноз и лечение калай береди??? Фейспалм",OFFENSIVE,MIXED_KAZ_RUS
"Ера, айтатын сөзім жоқ саған. Жүрген м*л екенсің",OFFENSIVE,KAZAKH_ONLY
Блять Акмарал сен шын Адам болсан нахуя ана малдын котине киресин? Вот что это тебе дает? С*ка журегим айнайт екеуиннен,OFFENSIVE,MIXED_KAZ_RUS
Бля YBS жігіттерінің көтін айырам. За слова нужно отвечать. Келіңдер раз на раз. Батыстың жігіттерінің духын бір көрсетіп жіберейін. Кәрістің иттері сияқты бұлаңдаған сүмелек нефорлар.,HATE_SPEECH,MIXED_KAZ_RUS
"Суали а 

Тпшка пикмийная, желаю тебе худшего",OFFENSIVE,MIXED_KAZ_RUS
"и как админ пропустил этот пост? автор an uneducated man (coffee emoji)

https://t.me/c/1660754858/10673 сюда ответ",OFFENSIVE,MIXED_KAZ_RUS
"Бля, это ебаные ненушники заебали в тумбе
Это Акжан, обычная pick me которой не хватает внимание, просит инсту хадишы, а потом срется с ней, говоря что она фейк лол",OFFENSIVE,MIXED_KAZ_RUS
Айкын перваш краш ебалась бы с ним всю ориенташку ????????????,OFFENSIVE,MIXED_KAZ_RUS
"Аян Окоджи мен сенің көтіңді сігем тауып алып тұратын жеріңді. Әркімге жазғанда абай бол. 

Сосын осы пабликқа кешірім сұрататын видео салдырам. Также все девушки можете кидать имеено сюда все его письма если он подкатывал к вам.
+ сенің үстінен заява жазам 434 статья бойынша. Пусть тебя арестуют",OFFENSIVE,MIXED_KAZ_RUS
"ig: aidanasface можно как то зарепортить? чтобы ее отчислили. i have evidence, хотя она сама выкладывает к себе что она не учиться и не ходит на лекции",OFFENSIVE,MIXED_KAZ_RUS
"Девушке, которая спрашивала про АБ
I said if I find someone I will go otherwise I will not go..if you don't know how to talk or communicate don't text people Какого хрена",OFFENSIVE,MIXED_KAZ_RUS
im so miserable right now if any girl (альтушка) wants to cuff and strangle me...,OFFENSIVE,MIXED_OTHER
"пацан в экон 101 алехандро, заебал комментировать каждое движение и слова профа. зачем говорить yessir каждый раз, ты не один в один с ним сидишь. its really distracting and hits my nerve(not only mine ig)",OFFENSIVE,MIXED_KAZ_RUS
"Админ тумбы ты пидр, я стихи пишу не для того чтобы ты их реджектал. Ты че литературный конкурс с порогом вхождения 10% или что??????",OFFENSIVE,MIXED_KAZ_RUS
i really want to kill myself хаха лол,OFFENSIVE,MIXED_OTHER
"Хватит ли айлтс 7+ и НУЕТ 150+, чтобы железно-бетонно получить грант в бмс, либо в бнс medical school?

Админ, только в этот раз закинь как отдельный пост, а не амскому ебланоиду шалказак, которого бы отпиздили с радостью. Его нужно отправить в ссылку в Тараз, на перевоспитание",OFFENSIVE,MIXED_KAZ_RUS
"джиги карочи бизде блай болган мен порно геймен мейкап бирбирминиге истетдык сосын ол маган аузына берды , не стеу болад ?  Железка мен ебальник сындыру болама",OFFENSIVE,MIXED_KAZ_RUS
"фаундер фигусама еркек па, әйел ма?!! профилін қарасам, қыз екен, бірақ чаттарда бір 14 жастағы далбаёб бала сияқты сөйлейді",OFFENSIVE,MIXED_KAZ_RUS
Маша андекл с днем рождения! (я тебя хочу),OFFENSIVE,MIXED_KAZ_RUS
Уят кайда адамдар. Почему на диванчиках в грин споте белые пятна? Не нашли другое место уединения? Сидеть на них теперь неприятно.,OFFENSIVE,MIXED_KAZ_RUS
"Ище одно доказательство что миллиарды евро вашего отца сделают из вас того, кому айдолы будут посвящать песни,даже если вы лицом не вышли. Арноларга +1 келiн",OFFENSIVE,MIXED_KAZ_RUS
Сендер кофе іше беріп осырықтарыңды қалай сақтап жүресіндер? Я сразу после кофе иду дристать туалет,OFFENSIVE,MIXED_KAZ_RUS
Утерменчн даусыңның амы шыққан екен,OFFENSIVE,KAZAKH_ONLY
Колтыкшаш.Затна свободная?,OFFENSIVE,MIXED_KAZ_RUS
"у меня bumps на лобке которые чешутся немного после бикини
girls what do you do? help me please ????",OFFENSIVE,MIXED_OTHER
Сен де бир ам дуниеде котагын тап та бар калан,OFFENSIVE,MIXED_KAZ_RUS
Абылай Т биосайнс 1год у тебя аура как у овечки,OFFENSIVE,MIXED_KAZ_RUS
кай профессорлар котак жейд,OFFENSIVE,KAZAKH_ONLY
"Ей котакбастар 22 блока 7-12 этаж, есикти колмен ашканнан кейин колмен жабады ебанаттар, кеше гана салган нарсенин амын шыгардындаргой ебать ей",OFFENSIVE,KAZAKH_ONLY
"How come there are 3.8 billion women on earth and it's still not clean 

Админ выебу тебя если не пропустишь это",OFFENSIVE,MIXED_KAZ_RUS
